rank,acquisition_value,predicted_viability,uncertainty,dmso_percent,n_ingredients,ectoin_M,ethylene_glycol_M,dextran_pct,glycerol_M,hyaluronic_acid_pct,methylcellulose_pct,human_serum_pct,betaine_M,fbs_pct,peg_3350_pct,hsa_pct,proline_M,propylene_glycol_M,sucrose_M,pvp_pct,dmso_M
2,84.93593680870558,76.76917834614255,16.333516925126037,0.0,6,0.2794659080046902,1.490395647780199,0.0003766092118069,0.0005984544395309,0.0007283952772216,0.1627279875790793,,,,,,,,,,
3,83.77442974678283,75.84612457335815,15.856610346849353,0.0,2,0.291877646340546,1.7129359857278683,,,,,,,,,,,,,,
4,83.73559532495983,75.0336993613987,17.403791927122253,0.0,4,0.2732656891685319,1.4827992964895211,,0.1826675926379484,,,0.0016822129972269,,,,,,,,,
5,81.77513122944697,73.48706353729607,16.576135384301818,0.0,6,0.3047,1.55,,,,,0.1263763839873277,0.1146423063545718,4.182380503841536,0.2964043238318146,,,,,,
6,81.48777273357841,72.93651272094594,17.102520025264937,0.0,2,0.3047,1.28,,,,,,,,,,,,,,
7,81.55362130689132,72.46516108419755,18.176920445387537,0.0,3,0.1977533621614381,1.3713144046014127,0.0908497216221491,,,,,,,,,,,,,
9,81.73524048124662,72.21964399309596,19.031192976301337,0.0,2,0.230318233576354,1.2908300821475749,,,,,,,,,,,,,,
10,81.51683437487056,71.71316496095514,19.607338827830837,0.0,2,0.221078366243276,1.55,,,,,,,,,,,,,,
19,43.373583194743475,33.28688873492046,20.173388919646023,0.4971909090909091,3,,,,,,,4.0,,,,4.0,,,,,0.07
20,41.4334237500823,31.66507406788075,19.536699364403106,0.4971909090909091,2,,,,,,,2.0,,,,,,,,,0.07
