rank,predicted_viability,uncertainty,dmso_percent,n_ingredients,ectoin_M,ethylene_glycol_M,fbs_pct,glycerol_M,hsa_pct,proline_M,betaine_M,human_serum_pct,propylene_glycol_M,sucrose_M,dextran_pct,dmso_M,hes_pct,peg_3350_pct,pvp_pct,methylcellulose_pct,trehalose_M,creatine_M,glucose_M
7,35.84428600555233,23.56452301511355,0.0,2,,,,,,,0.0885466232610209,75.55296552296711,,,,,,,,,,,
8,35.8226671507837,23.605837510401415,0.0,3,,0.3625101908543915,,,,,,,2.440388225313204,0.6072126026993657,,,,,,,,,
9,34.74115750689852,23.69772361923734,0.0,2,,,,0.7583116007014962,,,,,,,2.4698491771103184,,,,,,,,
10,34.3840889398402,23.477585395533037,0.3687552904147905,6,,,,,,0.1114733524667605,,,0.9381621893389648,,,0.0519174221753832,1.4753433905956326,1.3963688162782797,2.1058355362859924,,,,
11,34.21381698607567,23.552542995351335,0.0909324808121285,5,,,,,2.424778276679844,,,,,0.4606399154671841,,0.0128024739400155,,,,1.1082556629151974,0.0973320884513423,,
12,34.20388467597236,23.651069396643905,0.0,4,,0.8143126001621945,,,,,0.3994376514525778,,,,1.1991117249706695,,,,,,0.0976556638457716,,
13,33.71532020602287,23.764277547502893,0.2434575337640281,5,0.4145109458327096,2.182061030919647,,,,,0.1331899228152891,,,,,0.0342766270498439,,,,,,2.236002273870654,
14,33.64815708271081,22.99128380010228,0.0,2,,,,,3.852507183619219,,,,1.1492774211209218,,,,,,,,,,
15,33.51647990215618,23.75030987392225,0.0,3,,1.391546471883801,,,,,,,,,3.3084010509849735,,,,,,0.134018941454704,,
16,33.46780668287106,23.763148420900553,0.0,2,,2.226624728511492,,,,,,33.4544668109086,,,,,,,,,,,
17,33.37259264808032,23.761143623381415,0.0,5,,0.1389515862101925,58.23559863441445,,,,0.0766161601173056,64.52989722748069,,,,,,,4.760511939304846,,,,
18,33.28119974837785,23.764364059434737,0.181545760927232,3,,,,,,0.3181987349279822,,,,,2.4310163563176035,0.0255600072980871,,,,,,,
19,33.212105095606475,23.75255217365683,0.0,4,,0.8338718866927666,,2.3433836009017597,2.6144503148529417,,,26.213941563244536,,,,,,,,,,,
20,33.18400636723254,16.439074630320842,0.0,3,,,,,0.7860278108894425,,,,,0.5240296059738475,,,,,,,,,0.0052238433640017
