rank,predicted_viability,uncertainty,dmso_percent,n_ingredients,glycerol_M,hsa_pct,ethylene_glycol_M,proline_M,propylene_glycol_M,sucrose_M,fbs_pct,peg_3350_pct,pvp_pct,raffinose_M,betaine_M,hes_pct,human_serum_pct,dmso_M,dextran_pct
7,41.83734856818113,22.207840632113268,0.0,2,,,0.6291610876136768,,,,,,,0.4295491235206755,,,,,
8,39.59907225451498,20.38577767894053,0.0,3,1.8266262755981153,4.652056122837181,,,,,,,,,0.0300711713003926,,,,
9,38.04853024694719,23.289484247062124,0.0,2,,,,,,,,,,,,0.4719670169737899,86.52749576778446,,
10,36.77943472508062,23.17029142322458,0.0,2,,,0.503653739482901,,,,,,,0.7626534899114843,,,,,
11,36.6042208701995,22.848738179224338,0.0,5,,,0.1879821192543909,,0.3967567808958411,0.4123342156333225,,,,0.1760328010800007,0.3208716271125875,,,,
13,34.72878121685107,23.697833533655466,0.0,2,,,,,,,,,,,,4.320247996337416,78.27917112125333,,
14,34.55888585405643,23.714266863734615,0.0,3,0.7386698115668983,,,0.0582389248366685,,,,,,,,,,,2.542612314448646
15,34.12108572455685,23.677761802484213,0.0,2,,,,,,,,,5.836561118508721,0.3533522280260528,,,,,
16,34.04096297925194,23.742833732374493,0.0,5,0.233320300674566,,,,1.945989035883029,0.5886889743360161,,,,,0.2666003321845201,,,,1.0006467156653331
17,33.51787554520251,23.75567692546085,0.0,2,,,,0.1593513279806917,,,,,,,,,60.944658882522575,,
18,33.441554216944446,23.7573890833956,3.447058542152564,3,,,0.1324469832564923,,,,,,,,,,53.84276374653468,0.4853147825889953,
19,33.43659611645519,23.56199469529454,3.7269886957076976,4,0.7569190190435626,3.789559098125076,,,1.1483650254320568,,,,,,,,,0.5247264258643886,
20,33.40724833990233,23.728241894661966,0.1409202617255844,3,,,,,,,58.62343971719093,,,0.4498958559880934,,,,0.0198403030715657,
