rank,predicted_viability,uncertainty,dmso_percent,n_ingredients,ectoin_M,ethylene_glycol_M,fbs_pct,glycerol_M,hsa_pct,proline_M,propylene_glycol_M,sucrose_M,betaine_M,human_serum_pct,dextran_pct,hyaluronic_acid_pct,peg_3350_pct,dmso_M,hes_pct,pvp_pct,trehalose_M,methylcellulose_pct,creatine_M
7,39.041760332574995,23.57526914434658,0.0,2,,,,,,,,,0.0885466232610209,75.55296552296711,,,,,,,,,
8,37.97911733054703,23.71034921379878,0.0,2,,,,0.7583116007014962,,,,,,,2.4698491771103184,,,,,,,,
9,37.7291200414887,23.679008291693936,0.0,5,0.0576262804815214,2.2051758259828795,55.85627330377677,,,,,,,,,0.0446888799913669,0.510562844564254,,,,,,
10,37.59382007295403,23.488377098277923,0.3687552904147905,6,,,,,,0.1114733524667605,0.9381621893389648,,,,,,1.3963688162782797,0.0519174221753832,1.4753433905956326,2.1058355362859924,,,
12,36.71300580528562,23.76103861719131,0.0,3,,1.391546471883801,,,,,,,,,3.3084010509849735,,,,,,0.134018941454704,,
13,36.66528101306321,23.773804768532784,0.0,2,,2.226624728511492,,,,,,,,33.4544668109086,,,,,,,,,
14,36.59485028576694,22.679108637859613,0.0,2,,,,,,0.0607958946995599,,,,,,,4.796562499875967,,,,,,
15,36.57006697510299,23.77180086971795,0.0,5,,0.1389515862101925,58.23559863441445,,,,,,0.0766161601173056,64.52989722748069,,,,,,4.760511939304846,,,
16,36.49367763093575,23.72003191496004,0.0909324808121285,5,,,,,2.424778276679844,,,0.4606399154671841,,,,,,0.0128024739400155,,,0.0973320884513423,1.1082556629151974,
17,36.48052744031081,23.77501991727067,0.181545760927232,3,,,,,,0.3181987349279822,,,,,2.4310163563176035,,,0.0255600072980871,,,,,
18,36.47667179987965,23.750932661138062,0.0,4,,0.8143126001621945,,,,,,,0.3994376514525778,,1.1991117249706695,,,,,,0.0976556638457716,,
19,36.40958225585027,23.76321327305837,0.0,4,,0.8338718866927666,,2.3433836009017597,2.6144503148529417,,,,,26.213941563244536,,,,,,,,,
20,36.40322932191018,23.77725075929415,0.2434575337640281,5,0.4145109458327096,2.182061030919647,,,,,,,0.1331899228152891,,,,,0.0342766270498439,,,,,2.236002273870654
