rank,predicted_viability,uncertainty,dmso_percent,n_ingredients,glycerol_M,hsa_pct,ethylene_glycol_M,proline_M,propylene_glycol_M,sucrose_M,fbs_pct,peg_3350_pct,pvp_pct,raffinose_M,hes_pct,human_serum_pct,creatine_M,dmso_M,betaine_M,dextran_pct
7,42.44640766922091,22.955947235576527,0.0,2,,,0.6291610876136768,,,,,,,0.4295491235206755,,,,,,
8,41.246004573969856,23.300357224573155,0.0,2,,,,,,,,,,,0.4719670169737899,86.52749576778446,,,,
9,40.03758760861501,23.70343617632228,4.852776432377494,2,,,,,,,,,,,,,1.3845385365700535,0.6832271951382624,,
10,39.42365758581794,22.889596122349047,2.1810438211131156,2,,,,,,0.2562536141943354,,,,,,,,0.30707131744841,,
11,39.31241002149964,21.468012226430417,0.0,3,1.8266262755981153,4.652056122837181,,,,,,,,,,,,,0.0300711713003926,
12,38.255337880817194,23.05292656938502,0.0,5,,,0.1879821192543909,,0.3967567808958411,0.4123342156333225,,,,0.1760328010800007,,,,,0.3208716271125875,
13,38.23422258345502,23.572616756946218,0.0,2,,,0.503653739482901,,,,,,,0.7626534899114843,,,,,,
14,38.210426668907296,23.683915615190273,0.0,5,0.233320300674566,,,,1.945989035883029,0.5886889743360161,,,,,,,,,0.2666003321845201,1.0006467156653331
15,37.92625554387374,23.70851923860723,0.0,2,,,,,,,,,,,4.320247996337416,78.27917112125333,,,,
16,37.78274875094023,23.725765973473884,0.0,3,0.7386698115668983,,,0.0582389248366685,,,,,,,,,,,,2.542612314448646
17,37.3246794727771,23.688458156364806,0.0,2,,,,,,,,,5.836561118508721,0.3533522280260528,,,,,,
18,36.715530153103835,23.572072676666423,3.7269886957076976,4,0.7569190190435626,3.789559098125076,,,1.1483650254320568,,,,,,,,,0.5247264258643886,,
19,36.715349872225175,23.766336623161692,0.0,2,,,,0.1593513279806917,,,,,,,,60.944658882522575,,,,
20,36.639028543967115,23.768048013213203,3.447058542152564,3,,,0.1324469832564923,,,,,,,,,53.84276374653468,,0.4853147825889953,,
