rank,acquisition_value,predicted_viability,uncertainty,dmso_percent,n_ingredients,ectoin_M,ethylene_glycol_M,dextran_pct,dmso_M,human_serum_pct,methylcellulose_pct,peg_3350_pct,betaine_M,fbs_pct,hsa_pct,sucrose_M,glycerol_M,raffinose_M
1,84.97706400177543,77.8619158809737,14.230296241603476,0.0,2,0.3047,1.55,,,,,,,,,,,
2,84.94583348190517,77.69132469938168,14.509017565046966,0.07811647907303908,6,0.30993645878103976,1.5644177311778846,0.00012045500099737034,0.010998096375315881,0.000211372423623872,0.0005368839576978767,,,,,,,
3,82.95883994509273,74.99605544333666,15.925569003512164,0.0,6,0.3115590377759527,1.5654809784750656,0.00012884048667134696,,0.00020276293479002433,0.2016268882001096,9.85912153177024e-05,,,,,,
4,82.91056625918335,74.78755236835651,16.246027781653677,0.0,5,0.3315971869433672,1.5890922974013113,0.00013239711226139086,,5.5649888857428214e-05,,0.00012620845886337692,,,,,,
5,81.8501074509503,73.78027867956101,16.13965754277859,0.0,6,0.3050015769192636,1.437651960857321,,,,,,0.02567221518106244,0.007721188329426809,0.15940670666175727,0.024619451804712367,,
6,81.58369083191246,73.23901063514054,16.68936039354384,0.0,2,0.29578935124785144,1.737457018381991,,,,,,,,,,,
7,79.81997366232565,72.73531495536463,14.169317413922036,0.08499560786610097,6,0.15395603454438142,1.2348193405165935,0.001020887279339632,0.011966615724140673,0.0026351068348022836,,0.002401793135414376,,,,,,
8,79.29913449840824,72.42008694335411,13.758095110108247,0.0,2,0.1431,1.28,,,,,,,,,,,
9,80.06570505671874,71.28902035618546,17.553369401066565,0.0,2,0.32137461086787467,1.338112679579494,,,,,,,,,,,
10,76.36757415147471,69.4481664820772,13.838815338795028,0.0,2,0.1612,1.05,,,,,,,,,,,
11,77.8679359360997,68.96886575697827,17.798140358242858,0.0,2,0.2728153107171569,1.7303661897361122,,,,,,,,,,,
12,76.67766269152156,68.62951544635153,16.09629449034006,0.0,3,0.15461177186945987,1.1337178160234382,,,,,,,5.8289886115132745,,,,
13,77.03264428452331,68.42700679561953,17.21127497780756,0.0,6,0.3161274126669665,1.4761510994863911,,,,,0.09096427568402898,,,0.22772492421314983,,0.17000928859065212,0.11268560797120603
14,71.19287038394673,64.08344811951498,14.218844528863485,0.0,3,0.2733,1.48,,,,,,,,,,0.1827,
15,69.31587743443058,62.75754473461344,13.116665399634273,0.0,3,,,,,,,,,34.7,6.0,,2.35,
16,63.84321403630661,58.27833563226535,11.129756808082524,0.0,2,,,,,,,,,,8.3,,1.21,
17,43.85112458820412,34.21425481221205,19.273739551984146,0.4971909090909091,1,,,,0.07,,,,,,,,,
18,43.52834838054668,33.89174370087922,19.27320935933493,0.4971909090909091,2,,,,0.07,,,,,2.0,,,,
19,42.31191773183493,32.54129393813334,19.541247587403177,0.4971909090909091,2,,,,0.07,,,,,10.0,,,,
20,28.168778494763664,17.275170437834184,21.787216113858957,0.4971909090909091,2,,,,0.07,,,,,,,0.1,,
