rank,acquisition_value,predicted_viability,uncertainty,dmso_percent,n_ingredients,dmso_M,ectoin_M,ethylene_glycol_M,fbs_pct,hsa_pct,propylene_glycol_M
1,82.98997159606535,74.73561353108101,16.50871612996866,0.07791031564578481,4,0.010969070422419467,0.2897158006404323,1.8148836329328317,5.698399216655219,,
2,82.6361647336738,74.67151786267726,15.929293741993057,0.0,3,,0.3047,1.83,1.4,,
3,82.3912768350215,74.15948377768959,16.463586114663837,0.14890723032262432,4,0.02096479628246343,0.29109630712015244,1.7855023516316384,5.387400101947973,,
4,81.89092841519928,74.00788599692581,15.766084836546941,0.0,4,,0.3047,1.55,5.1,0.6,
5,82.52707017525448,73.76759309307162,17.518954164365706,0.0,3,,0.2646955520031378,1.7857139282622807,7.390975868506066,,
6,81.51592835814303,73.20760967609579,16.616637364094487,0.05628252906526185,4,0.007924072951719959,0.3171239770604657,1.9194035735680954,2.5673625672293507,,
7,81.0248433523999,73.17156210645042,15.706562491898945,0.0,3,,0.3047,1.55,6.5,,
8,81.50459438918631,72.70608805030115,17.597012677770316,0.0,3,,0.3120667279784439,1.924275244963068,8.73430364023928,,
9,80.54533584554228,71.69923023059204,17.692211229900487,0.0,3,,0.23658581329418804,1.540266931583121,6.6811656073347,,
10,79.17628470832535,71.4341145444531,15.48434032774452,0.0,2,,0.3047,1.55,,,
11,80.32685270817615,71.39135308631523,17.870999243721815,0.0,3,,0.2749659176681079,2.017424406716236,2.2940014880924813,,
12,80.24554732555475,71.1204213324302,18.25025198624912,0.0,4,,0.2775483916041182,1.7310763405082394,4.9475903532416154,,0.20206339761472694
13,79.7787327521592,71.04109391281902,17.475277678680357,0.0,3,,0.34467411518710034,1.756501079435884,6.850430677469324,,
14,78.38259497679238,70.6148939608315,15.535402031921766,0.07812999999999999,3,0.011,0.3099,1.56,,,
15,76.60170573528256,68.91453712482966,15.374337220905803,0.0,3,,0.1431,1.28,5.3,,
16,75.27699878531436,67.70344778804657,15.14710199453558,0.0,2,,0.1431,1.28,,,
17,74.85811202701515,67.28503501585192,15.146154022326481,0.08523272727272727,3,0.012,0.154,1.23,,,
18,42.51482968853868,33.35231373932604,18.325031898425287,0.4971909090909091,1,0.07,,,,,
19,42.24753176718295,33.07992765693726,18.335208220491378,0.4971909090909091,2,0.07,,,2.0,,
20,41.71455996144421,32.28990785929323,18.84930420430196,0.4971909090909091,2,0.07,,,10.0,,
