rank,acquisition_value,predicted_viability,uncertainty,dmso_percent,n_ingredients,dmso_M,ectoin_M,ethylene_glycol_M,fbs_pct,raffinose_M,hsa_pct
1,102.50776709534217,94.13064750419318,16.754239182297983,0.2341023483161969,4,0.032959501234841496,0.30636401855516376,2.044173207505827,11.266806939180135,,
2,102.36079328969404,93.89097208907879,16.93964240123051,0.3162399992137355,4,0.0445237423697823,0.30644465373376406,2.043842471153833,11.239910420855098,,
3,101.96378068525203,93.4988491872832,16.929862995937672,0.0,3,,0.30662866105263753,2.0581488341917433,11.81747511068572,,
4,102.0658081757888,93.46387365670292,17.203869038171785,0.39395206899102375,4,0.0554649015602363,0.30665362023957055,2.0447519763535817,11.235168864942215,,
5,102.09184235911727,93.41081936763527,17.362045982964,0.12532926982504386,4,0.017645231896524796,0.3155489584032086,2.110432169801181,12.499738067621468,,
6,101.7846309549723,93.30829518999096,16.952671529962693,0.18554097626342542,5,0.026122497618042743,0.30973733484938154,2.0550382678790275,11.383844980045891,0.10688107177372833,
7,101.93927153348878,93.29940749866486,17.279728069647817,0.18469888555083988,4,0.026003938833472913,0.3172815812658269,2.1566568171013123,11.392985391630601,,
8,101.64243053440521,92.86172150359474,17.56141806162095,0.46880752794369285,4,0.06600387568642803,0.30687602278920256,2.045848809236318,11.397379735026568,,
9,99.93699712990231,92.12436599557353,15.625262268657554,0.07812999999999999,4,0.011,0.2897,2.0,6.3,,
10,99.63950353410517,91.8608886408075,15.557229786595355,0.14915727272727272,4,0.021,0.2911,1.96,5.9,,
11,97.2347008198992,89.25392818781648,15.961545264165425,0.05611154545454545,4,0.0079,0.3171,2.11,2.8,,
12,96.82113263833696,89.10341716406572,15.435430948542493,0.07812999999999999,4,0.011,0.2897,1.81,5.7,,
13,96.2773709598135,88.54771156101577,15.459318797595447,0.14915727272727272,4,0.021,0.2911,1.79,5.4,,
14,91.74751519570309,83.98267474165476,15.529680908096648,0.0,3,,0.3047,1.83,1.4,,
15,90.46784254979954,82.73370925333458,15.468266592929915,0.07812999999999999,4,0.011,0.2897,1.63,5.1,,
16,89.88453050434,82.1274442626428,15.514172483394413,0.05611154545454545,4,0.0079,0.3171,1.73,2.3,,
17,87.63422754490983,79.77801143584753,15.712432218124608,0.0,3,,0.3047,1.55,6.5,,
18,84.81983784844238,76.83528169485838,15.969112307168,0.0,4,,0.3047,1.55,5.1,,0.6
19,83.9752711339733,76.00002513043205,15.950492007082486,0.0,2,,0.2436,1.71,,,
20,80.55201783234722,72.7393161704577,15.625403323779036,0.07812999999999999,3,0.011,0.3099,1.56,,,
