rank,acquisition_value,predicted_viability,uncertainty,dmso_percent,n_ingredients,ectoin_M,ethylene_glycol_M,hsa_pct,hyaluronic_acid_pct,raffinose_M,fbs_pct,betaine_M,dmso_M,sucrose_M,methylcellulose_pct,peg_3350_pct,glycerol_M
1,84.97706400177543,77.8619158809737,14.230296241603476,0.0,2,0.3047,1.55,,,,,,,,,,
2,83.51316634974981,75.8864391406228,15.25345441825402,0.0,5,0.3105441975956661,1.5708487796007677,0.08724240097199641,2.211214624816136e-06,0.14282332332607653,,,,,,,
3,83.35943937717946,75.58207059783878,15.55473755868136,0.0,2,0.3140551077157329,1.4311229406288088,,,,,,,,,,
4,81.07566364651568,72.60817754797671,16.93497219707795,0.0,3,0.3047,1.55,,,,6.521234526971213,,,,,,
5,81.10523382190942,72.59581566467057,17.018836314477724,0.23117449071049515,6,0.3056214283962723,1.652866293651486,0.15940670666175727,,,,0.048565553937510664,0.03254728526578071,0.024619451804712367,,,
6,79.29913449840824,72.42008694335411,13.758095110108247,0.0,2,0.1431,1.28,,,,,,,,,,
7,80.34272612814053,71.67036215834538,17.3447279395903,0.0,5,0.3047,1.55,0.596081283179771,,,5.103575758113912,,,,0.01215893956593872,,
8,78.93321265230497,69.77248629605229,18.321452712505348,0.0,3,0.3047,1.8266459674097901,,,,1.41844721954633,,,,,,
9,77.45706030164024,69.57138014941285,15.771360304454777,0.0,3,0.1431,1.28,,,,5.308691120662459,,,,,,
10,76.36757415147471,69.4481664820772,13.838815338795028,0.0,2,0.1612,1.05,,,,,,,,,,
11,77.93224096620122,68.91338981682077,18.0377022987609,0.0,3,0.3047,1.28,,,,1.9951765451445809,,,,,,
12,76.47929397151225,68.07458494690579,16.80941804921293,5.0,1,,,,,,,,0.7039549468833995,,,,
13,75.98399499589652,67.56299285032344,16.842004291146154,5.0,2,,,,,,2.0,,0.7039549468833995,,,,
14,75.57743305311125,67.26899400446418,16.616878097294155,0.0,2,0.1574731189995772,1.48,,,,,,,,,,
15,75.4596291041763,66.66022003525451,17.59881813784357,0.0,3,0.2558314622242693,1.55,,,,,,,,,0.17744064559093697,
16,71.19287038394673,64.08344811951498,14.218844528863485,0.0,3,0.2733,1.48,,,,,,,,,,0.1827
17,69.31587743443058,62.75754473461344,13.116665399634273,0.0,3,,,6.0,,,34.7,,,,,,2.35
18,68.24198491752323,62.31591548905341,11.852138856939629,5.0,2,,,,,,,,0.7039549468833995,0.1,,,
19,70.70663361033922,61.730188769227325,17.952889682223805,5.0,2,,,,,,10.0,,0.7039549468833995,,,,
20,63.84321403630661,58.27833563226535,11.129756808082524,0.0,2,,,8.3,,,,,,,,,1.21
