rank,acquisition_value,predicted_viability,uncertainty,dmso_percent,n_ingredients,ectoin_M,ethylene_glycol_M,fbs_pct,hsa_pct,dmso_M,peg_3350_pct,pvp_pct
1,82.6361647336738,74.67151786267726,15.929293741993057,0.0,3,0.3047,1.83,1.4,,,,
2,82.84347845215305,74.06617976534844,17.554597373609216,0.0,4,0.29571818097365166,1.8428453243805438,5.826023522587861,0.9426706582342138,,,
3,81.89092841519928,74.00788599692581,15.766084836546941,0.0,4,0.3047,1.55,5.1,0.6,,,
4,82.48277491464867,73.70234133822223,17.560867152852907,0.0,3,0.2648520583499944,1.79129061991677,7.523633846708725,,,,
5,81.0248433523999,73.17156210645042,15.706562491898945,0.0,3,0.3047,1.55,6.5,,,,
6,81.53495848743877,72.48798657346357,18.093943827950405,0.0,4,0.2551526193065152,1.6532739440703197,5.103469593422094,1.0194718088612253,,,
7,81.12406623138543,72.23786983754802,17.772392787674804,0.0,3,0.31304050474144884,1.9636704616615113,8.284209502570466,,,,
8,79.89498640009404,71.91254732234549,15.964878155497093,5.0,1,,,,,0.7039549468833995,,
9,80.65950366460493,71.79382246850096,17.73136239220794,0.0,4,0.3412144064958277,1.7863113450688655,5.711834266603799,0.745961001359808,,,
10,80.55459239658657,71.69720320217527,17.71477838882261,0.0,3,0.2363021293407984,1.5438236493915531,6.734238964975941,,,,
11,79.17628470832535,71.4341145444531,15.48434032774452,0.0,2,0.3047,1.55,,,,,
12,79.4225546764094,71.42890475197015,15.987299848878498,5.0,2,,,2.0,,0.7039549468833995,,
13,79.98075932560644,71.0786101530411,17.804298345130704,0.0,2,0.26877352172341235,1.9701275940891068,,,,,
14,79.80421064442551,70.98461412206694,17.639193044717132,0.0,2,0.24360809285733212,1.7076846736235123,,,,,
15,78.38259497679238,70.6148939608315,15.535402031921766,0.07812999999999999,3,0.3099,1.56,,,0.011,,
16,78.5606751973004,68.92049064599239,19.280369102616017,0.0,6,0.2844172072395712,1.670306971683722,6.577508465349823,1.4818783856812843,,0.24733812433087277,0.2359126617905103
17,76.60170573528256,68.91453712482966,15.374337220905803,0.0,3,0.1431,1.28,5.3,,,,
18,75.27699878531436,67.70344778804657,15.14710199453558,0.0,2,0.1431,1.28,,,,,
19,74.85811202701515,67.28503501585192,15.146154022326481,0.08523272727272727,3,0.154,1.23,,,0.012,,
20,75.23837884647014,66.68477857377158,17.10720054539712,5.0,2,,,10.0,,0.7039549468833995,,
