rank,predicted_viability,uncertainty,dmso_percent,n_ingredients,ectoin_M,ethylene_glycol_M,fbs_pct,glycerol_M,hsa_pct,proline_M,dmso_M,glucose_M,trehalose_M,methylcellulose_pct,sucrose_M,betaine_M,propylene_glycol_M,creatine_M,dextran_pct,raffinose_M,human_serum_pct
1,72.12280299546546,13.817775628262988,0.0,2,0.14310187022779486,1.2818618574001872,,,,,,,,,,,,,,,
2,69.68992333395818,13.89675313575447,0.0,2,0.1611683922786305,1.0495636126492547,,,,,,,,,,,,,,,
3,62.76842815970019,13.199539603210585,0.0,3,,,34.661844640510274,2.350296025139387,6.022810043529202,,,,,,,,,,,,
4,52.854758905156174,12.587926236062218,0.0,3,,0.975688891057823,,,8.524649388815355,0.06755325354947417,,,,,,,,,,,
5,46.94643503310808,23.18582831599794,0.28837912253371506,2,0.15975251685790637,,,,,,0.04060118197710055,,,,,,,,,,
6,42.17710676374007,20.659148443274816,0.0,2,,,,,5.755282984954038,0.055161438012235775,,,,,,,,,,,
7,39.09516076859422,25.140189547426896,0.0,3,0.13471881529743085,,,,,,,0.9360773723572036,0.23276985623859892,,,,,,,,
8,38.214356081193955,11.370966414679936,0.0,2,,1.7297596552503902,,,7.299645814204539,,,,,,,,,,,,
9,37.77960428807562,24.718551468891075,0.09093248081212851,5,,,,,2.4247782766798442,,0.012802473940015534,,0.09733208845134234,1.1082556629151974,0.4606399154671841,,,,,,
10,37.75236393183056,24.980584377920565,0.0,3,,,,,,0.02834741448531214,,1.7122919366988643,,,,0.33294840842112666,,,,,
11,37.708197235967255,21.20289583942604,0.0,3,,,,,8.834919151977477,,,,,,0.015830616453093915,,0.16730765630823013,,,,
12,37.29345050705432,25.05338384388075,0.0,3,,,,,0.7860278108894425,,,0.0052238433640017234,,,0.5240296059738475,,,,,,
13,36.68745299003548,25.53726865172951,0.0,4,0.12007012931075062,,,,,0.019329823827566928,,,,,,,,1.3070310198598334,2.1875870995826032,,
14,36.67676941851427,23.977973497312057,0.0,2,,,,,3.8525071836192195,,,,,,,,1.1492774211209218,,,,
15,36.57509382108581,25.502544391617864,0.0,2,0.3047248791901368,1.5464447896637654,,,,,,,,,,,,,,,
16,36.33657626128084,25.232247269909525,0.0,2,,,,1.9834200866438598,,,,,,,0.380435802891982,,,,,,
17,36.249184978003726,25.432645585776267,0.0,4,,,73.88362726381204,1.6258910049646529,,,,,,,,,1.9691879517869524,,,0.7173445183964586,
18,36.05605957909384,25.442995023245864,0.0,2,,,,,,,,,,,,0.08854662326102092,,,,,75.55296552296711
19,35.221171505725124,24.109351192777414,0.0,3,,0.11091060638315053,,,3.180982758754162,,,,,,,,,,,0.2786587127412299,
20,35.03442097295237,25.53854575728142,0.0,2,,,66.32614185027289,,,,,,,,0.34760964227431246,,,,,,
