rank,predicted_viability,uncertainty,dmso_percent,n_ingredients,ectoin_M,ethylene_glycol_M,fbs_pct,glycerol_M,hsa_pct,proline_M,propylene_glycol_M,sucrose_M,betaine_M,human_serum_pct,dextran_pct,hyaluronic_acid_pct,peg_3350_pct,dmso_M,hes_pct,pvp_pct,trehalose_M,methylcellulose_pct,creatine_M
1,77.85085040091376,14.230410885815829,0.0,2,0.3047248791901368,1.5464447896637654,,,,,,,,,,,,,,,,,
2,72.39942113268843,13.761202979114346,0.0,2,0.14310187022779486,1.2818618574001872,,,,,,,,,,,,,,,,,
3,69.4352506623919,13.83886720049583,0.0,2,0.1611683922786305,1.0495636126492547,,,,,,,,,,,,,,,,,
4,62.75582845372246,13.118957583420919,0.0,3,,,34.661844640510274,2.350296025139387,6.022810043529202,,,,,,,,,,,,,,
5,52.86322310700993,12.502315784556162,0.0,3,,0.975688891057823,,,8.524649388815355,0.06755325354947417,,,,,,,,,,,,,
6,51.626864950778995,14.246988172184842,0.0,3,,0.3625101908543915,,,,,2.440388225313204,0.6072126026993657,,,,,,,,,,,
7,39.041760332574995,23.57526914434658,0.0,2,,,,,,,,,0.08854662326102092,75.55296552296711,,,,,,,,,
8,37.97911733054703,23.71034921379878,0.0,2,,,,0.7583116007014962,,,,,,,2.4698491771103184,,,,,,,,
9,37.7291200414887,23.679008291693936,0.0,5,0.057626280481521464,2.2051758259828795,55.85627330377677,,,,,,,,,0.04468887999136695,0.510562844564254,,,,,,
10,37.59382007295403,23.488377098277923,0.36875529041479055,6,,,,,,0.11147335246676054,0.9381621893389647,,,,,,1.3963688162782795,0.05191742217538329,1.4753433905956326,2.1058355362859924,,,
11,37.32588773427952,11.091848386402464,0.0,2,,1.7297596552503902,,,7.299645814204539,,,,,,,,,,,,,,
12,36.71300580528562,23.761038617191314,0.0,3,,1.391546471883801,,,,,,,,,3.3084010509849735,,,,,,0.13401894145470405,,
13,36.66528101306321,23.773804768532784,0.0,2,,2.226624728511492,,,,,,,,33.4544668109086,,,,,,,,,
14,36.59485028576694,22.679108637859613,0.0,2,,,,,,0.06079589469955993,,,,,,,4.796562499875967,,,,,,
15,36.57006697510299,23.77180086971795,0.0,5,,0.13895158621019255,58.235598634414444,,,,,,0.0766161601173056,64.52989722748069,,,,,,4.760511939304846,,,
16,36.49367763093575,23.720031914960042,0.09093248081212851,5,,,,,2.4247782766798442,,,0.4606399154671841,,,,,,0.012802473940015534,,,0.09733208845134234,1.1082556629151974,
17,36.48052744031081,23.77501991727067,0.181545760927232,3,,,,,,0.31819873492798223,,,,,2.4310163563176035,,,0.025560007298087193,,,,,
18,36.47667179987965,23.750932661138062,0.0,4,,0.8143126001621945,,,,,,,0.39943765145257787,,1.1991117249706695,,,,,,0.09765566384577162,,
19,36.40958225585027,23.76321327305837,0.0,4,,0.8338718866927666,,2.3433836009017597,2.6144503148529417,,,,,26.213941563244536,,,,,,,,,
20,36.40322932191018,23.77725075929415,0.24345753376402818,5,0.4145109458327096,2.182061030919647,,,,,,,0.13318992281528919,,,,,0.03427662704984398,,,,,2.236002273870654
