rank,predicted_viability,uncertainty,dmso_percent,n_ingredients,glycerol_M,hsa_pct,ethylene_glycol_M,proline_M,propylene_glycol_M,sucrose_M,fbs_pct,peg_3350_pct,pvp_pct,raffinose_M,hes_pct,human_serum_pct,creatine_M,dmso_M,betaine_M,dextran_pct
1,58.27239914872882,11.141121412406147,0.0,2,1.2087676864441632,8.327230977971464,,,,,,,,,,,,,,
2,55.833100382737086,11.918302857397757,0.0,2,,,1.0309162181867026,0.0361384737865883,,,,,,,,,,,,
3,53.050540699580985,14.248520855493485,0.0,2,,,,,2.4567001218060853,0.3991093505747292,,,,,,,,,,
4,52.00326749949129,12.62077435250764,0.0,2,1.8607624141879884,,,,,,36.763067803954364,,,,,,,,,
5,51.2766072623951,14.2323396900914,0.0,6,,1.7853290453971482,1.5282637926384668,0.14953215480442156,,,33.853257900944115,3.5916393863395313,7.177033617093369,,,,,,,
6,49.9828964603987,13.62284276142844,0.0,2,,1.2665846591826169,,,,0.3464513073430604,,,,,,,,,,
7,42.44640766922091,22.955947235576527,0.0,2,,,0.6291610876136768,,,,,,,0.42954912352067554,,,,,,
8,41.246004573969856,23.300357224573155,0.0,2,,,,,,,,,,,0.47196701697378995,86.52749576778446,,,,
9,40.03758760861501,23.703436176322278,4.852776432377494,2,,,,,,,,,,,,,1.3845385365700535,0.6832271951382624,,
10,39.42365758581794,22.889596122349047,2.1810438211131156,2,,,,,,0.25625361419433546,,,,,,,,0.30707131744841,,
11,39.31241002149964,21.468012226430414,0.0,3,1.8266262755981153,4.652056122837181,,,,,,,,,,,,,0.030071171300392607,
12,38.255337880817194,23.05292656938502,0.0,5,,,0.18798211925439096,,0.3967567808958411,0.4123342156333225,,,,0.17603280108000074,,,,,0.3208716271125875,
13,38.23422258345502,23.572616756946214,0.0,2,,,0.503653739482901,,,,,,,0.7626534899114843,,,,,,
14,38.210426668907296,23.683915615190273,0.0,5,0.233320300674566,,,,1.945989035883029,0.5886889743360161,,,,,,,,,0.2666003321845201,1.0006467156653331
15,37.92625554387374,23.70851923860723,0.0,2,,,,,,,,,,,4.320247996337416,78.27917112125333,,,,
16,37.78274875094023,23.725765973473884,0.0,3,0.7386698115668983,,,0.05823892483666854,,,,,,,,,,,,2.542612314448646
17,37.3246794727771,23.688458156364806,0.0,2,,,,,,,,,5.836561118508721,0.3533522280260528,,,,,,
18,36.715530153103835,23.572072676666426,3.7269886957076976,4,0.7569190190435626,3.7895590981250757,,,1.1483650254320568,,,,,,,,,0.5247264258643886,,
19,36.715349872225175,23.766336623161692,0.0,2,,,,0.15935132798069174,,,,,,,,60.944658882522575,,,,
20,36.639028543967115,23.768048013213203,3.447058542152564,3,,,0.1324469832564923,,,,,,,,,53.84276374653468,,0.48531478258899535,,
