rank,predicted_viability,uncertainty,dmso_percent,n_ingredients,glycerol_M,hsa_pct,propylene_glycol_M,sucrose_M,ethylene_glycol_M,proline_M,fbs_pct,peg_3350_pct,pvp_pct,dmso_M,hes_pct,human_serum_pct,creatine_M,raffinose_M,ectoin_M,methylcellulose_pct
1,57.12318029205488,14.043495805570723,0.0,2,1.2087676864441632,8.327230977971464,,,,,,,,,,,,,,
2,54.38614846214495,16.55547924794953,0.0,2,,,2.4567001218060853,0.3991093505747292,,,,,,,,,,,,
3,53.38432471710351,14.587660475997147,0.0,2,,,,,1.0309162181867026,0.0361384737865883,,,,,,,,,,
4,51.21907661767593,15.243724457317795,0.0,2,1.8607624141879884,,,,,,36.763067803954364,,,,,,,,,
5,51.16988792236639,16.603506613549335,0.0,6,,1.7853290453971482,,,1.5282637926384668,0.14953215480442156,33.853257900944115,3.5916393863395313,7.177033617093369,,,,,,,
6,50.86450259790529,22.920882214641686,2.1810438211131156,2,,,,0.25625361419433546,,,,,,0.30707131744841,,,,,,
7,50.70420870457668,27.261660952761098,0.0,2,,,,,,,,,,,0.47196701697378995,86.52749576778446,,,,
8,49.96950597493988,25.413394957669254,4.852776432377494,2,,,,,,,,,,0.6832271951382624,,,1.3845385365700535,,,
9,48.67772607366143,16.03720424919119,0.0,2,,1.2665846591826169,,0.3464513073430604,,,,,,,,,,,,
10,48.40532040100324,27.37409986333327,0.0,5,,3.3214641265493894,2.0937269725062304,0.2359060345950812,,,16.768879154470863,,,,,,1.6552051036728976,,,
11,48.090196273025214,27.565675040805782,0.0,2,,,,,,,,,5.836561118508721,,,,,0.3533522280260528,,
12,47.384459674480574,27.611327305980602,0.0,2,,,,,,,,,,,4.320247996337416,78.27917112125333,,,,
13,47.33831186712459,27.25189683878051,0.0,2,,,1.7918119567036264,,1.179772774786469,,,,,,,,,,,
14,46.71991209366931,27.63675493817733,0.0,2,,,,,,,,,4.934442792827386,,,,,0.8646591138898917,,
15,46.69575469166544,21.71657728438075,0.0,2,,,,,0.6291610876136768,,,,,,,,,0.42954912352067554,,
16,46.6823044977534,27.552059857207027,0.0,4,,,1.2539103833015854,0.3617996798630564,2.166967216224394,,,,,,,,,,0.08537474711057913,
17,46.355571154162575,27.657355264345966,0.0,4,,,,,,,53.69772648543615,,4.379307638473708,,,,,,0.42123901910078243,1.1542756070426774
18,46.17355400283201,27.66098818907266,0.0,2,,,,,,0.15935132798069174,,,,,,60.944658882522575,,,,
19,46.09723267457394,27.662458630226432,3.447058542152564,3,,,,,0.1324469832564923,,,,,0.48531478258899535,,53.84276374653468,,,,
20,45.98323814204146,27.64871742259164,0.0,4,2.279553984091857,,,0.03517463153159661,1.3011402303484576,,,,8.608108626867374,,,,,,,
