feature,importance
ectoin,0.3964354093224244
dmso,0.3079767278206741
fbs,0.20249993724425008
glycerol,0.16526924263068254
hsa,0.15640823412249483
proline,0.11409788431758017
ethylene_glycol,0.10816293502388263
pvp,0.0897697298326352
peg_3350,0.08512292264616894
trehalose,0.06598832649233599
sucrose,0.0525378061962557
human_serum,0.05128955809785296
raffinose,0.0068151068250486
betaine,0.004331131783477327
creatine,0.004159866372593135
propylene_glycol,0.0026546759994190428
hes,0.0007731558623313983
dextran,0.0004015649313129366
glucose,0.0003249595071559419
hyaluronic_acid,-0.0003483203925724876
methylcellulose,-0.0021077756633810507
