feature,importance
ethylene_glycol,1.1591367725463666
ectoin,0.8527853176323321
dmso,0.35173103079117873
fbs,0.18640748260326212
glycerol,0.14880513531560224
trehalose,0.12962379398021306
hsa,0.1268815723261396
dextran,0.09795949093863865
hes,0.09748773022147839
human_serum,0.0830282204908811
pvp,0.07643919046637637
propylene_glycol,0.062124946967366146
peg_3350,0.054767659690614034
proline,0.052975410631025954
sucrose,0.04706149086571443
betaine,0.04513051988421657
glucose,0.02587855975504283
methylcellulose,0.018341102997312175
hyaluronic_acid,0.007435789248546376
raffinose,0.001674107576626227
creatine,0.0005170938271430447
