recommendation_type,bucket_rank,origin,source_file,source_rank,anchor_stage,anchor_experiments,predicted_viability,uncertainty,blindspot_score,novelty_score,dmso_percent,n_ingredients,betaine_M,creatine_M,dextran_pct,dmso_M,ectoin_M,ethylene_glycol_M,fbs_pct,glucose_M,glycerol_M,hes_pct,hsa_pct,human_serum_pct,hyaluronic_acid_pct,methylcellulose_pct,peg_3350_pct,proline_M,propylene_glycol_M,pvp_pct,raffinose_M,sucrose_M,trehalose_M,formulation,rationale
exploit,1,bo_candidate,bo_candidates_dmso_free_iteration_6_prior_mean.csv,1.0,,,94.13064750419318,16.754239182297983,0.0,0.0,0.2341023483161962,4,0.0,0.0,0.0,0.0329595012348414,0.3063640185551637,2.044173207505827,11.266806939180135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0mM dmso + 306.4mM ectoin + 2.04M ethylene_glycol + 11.3% fbs,Top BO exploitation candidate with strong predicted viability.
exploit,2,bo_candidate,bo_candidates_dmso_free_iteration_6_prior_mean.csv,2.0,,,93.8909720890788,16.93964240123051,0.0,0.0,0.3162399992137355,4,0.0,0.0,0.0,0.0445237423697823,0.306444653733764,2.043842471153833,11.239910420855098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.5mM dmso + 306.4mM ectoin + 2.04M ethylene_glycol + 11.2% fbs,Top BO exploitation candidate with strong predicted viability.
exploit,3,bo_candidate,bo_candidates_dmso_free_iteration_6_prior_mean.csv,3.0,,,93.4988491872832,16.929862995937672,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.3066286610526375,2.0581488341917433,11.81747511068572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306.6mM ectoin + 2.06M ethylene_glycol + 11.8% fbs,Top BO exploitation candidate with strong predicted viability.
exploit,4,bo_candidate,bo_candidates_dmso_free_iteration_6_prior_mean.csv,4.0,,,93.46387365670292,17.203869038171785,0.0,0.0,0.39395206899102375,4,0.0,0.0,0.0,0.0554649015602363,0.3066536202395705,2.0447519763535817,11.235168864942215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.5mM dmso + 306.7mM ectoin + 2.04M ethylene_glycol + 11.2% fbs,Top BO exploitation candidate with strong predicted viability.
exploit,5,bo_candidate,bo_candidates_dmso_free_iteration_6_prior_mean.csv,6.0,,,93.30829518999096,16.952671529962693,0.0,0.0,0.18554097626342508,5,0.0,0.0,0.0,0.0261224976180427,0.3097373348493815,2.0550382678790275,11.383844980045891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1068810717737283,0.0,0.0,26.1mM dmso + 309.7mM ectoin + 2.06M ethylene_glycol + 11.4% fbs + 106.9mM raffinose,Top BO exploitation candidate with strong predicted viability.
exploit,6,bo_candidate,bo_candidates_dmso_free_iteration_6_prior_mean.csv,5.0,,,93.41081936763528,17.362045982964,0.0,0.0,0.12532926982504314,4,0.0,0.0,0.0,0.0176452318965247,0.3155489584032086,2.110432169801181,12.499738067621468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6mM dmso + 315.5mM ectoin + 2.11M ethylene_glycol + 12.5% fbs,Top BO exploitation candidate with strong predicted viability.
exploit,7,bo_candidate,bo_candidates_dmso_free_iteration_6_prior_mean.csv,7.0,,,93.29940749866486,17.279728069647817,0.0,0.0,0.18469888555083977,4,0.0,0.0,0.0,0.0260039388334729,0.3172815812658269,2.1566568171013123,11.3929853916306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0mM dmso + 317.3mM ectoin + 2.16M ethylene_glycol + 11.4% fbs,Top BO exploitation candidate with strong predicted viability.
exploit,8,bo_candidate,bo_candidates_dmso_free_iteration_6_prior_mean.csv,8.0,,,92.86172150359474,17.56141806162095,0.0,0.0,0.4688075279436927,4,0.0,0.0,0.0,0.066003875686428,0.3068760227892025,2.045848809236318,11.397379735026568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0mM dmso + 306.9mM ectoin + 2.05M ethylene_glycol + 11.4% fbs,Top BO exploitation candidate with strong predicted viability.
explore,1,local_rank_probe,bo_candidates_dmso_free_iteration_6_prior_mean.csv,1.0,6.0,,92.21134602403936,16.240089977152508,5.364680844081175,0.05493786748582145,0.2341023483161962,4,0.0,0.0,0.0,0.0329595012348414,0.3063640185551637,1.8397558867552444,10.140126245262122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0mM dmso + 306.4mM ectoin + 1.84M ethylene_glycol + 10.1% fbs,Local rank-resolution probe around exploit anchor bo_candidates_dmso_free_iteration_6_prior_mean.csv rank 1; scaled fbs + ethylene_glycol down by 10%.
explore,2,local_rank_probe,bo_candidates_dmso_free_iteration_6_prior_mean.csv,1.0,6.0,,91.77378539855223,17.96052451974571,5.364680844081175,0.05493786748582145,0.2341023483161962,4,0.0,0.0,0.0,0.0329595012348414,0.3063640185551637,2.24859052825641,12.39348763309815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0mM dmso + 306.4mM ectoin + 2.25M ethylene_glycol + 12.4% fbs,Local rank-resolution probe around exploit anchor bo_candidates_dmso_free_iteration_6_prior_mean.csv rank 1; scaled fbs + ethylene_glycol up by 10%.
explore,3,local_rank_probe,bo_candidates_dmso_free_iteration_6_prior_mean.csv,2.0,6.0,,91.9730804913469,16.45532825198832,5.364680844081175,0.05493786748582145,0.3162399992137355,4,0.0,0.0,0.0,0.0445237423697823,0.306444653733764,1.8394582240384498,10.115919378769588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.5mM dmso + 306.4mM ectoin + 1.84M ethylene_glycol + 10.1% fbs,Local rank-resolution probe around exploit anchor bo_candidates_dmso_free_iteration_6_prior_mean.csv rank 2; scaled fbs + ethylene_glycol down by 10%.
explore,4,local_rank_probe,bo_candidates_dmso_free_iteration_6_prior_mean.csv,2.0,6.0,,91.57276379897856,18.11111039099022,5.364680844081175,0.05493786748582145,0.3162399992137355,4,0.0,0.0,0.0,0.0445237423697823,0.306444653733764,2.2482267182692164,12.363901462940609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.5mM dmso + 306.4mM ectoin + 2.25M ethylene_glycol + 12.4% fbs,Local rank-resolution probe around exploit anchor bo_candidates_dmso_free_iteration_6_prior_mean.csv rank 2; scaled fbs + ethylene_glycol up by 10%.
explore,5,local_rank_probe,bo_candidates_dmso_free_iteration_6_prior_mean.csv,3.0,6.0,,91.91316794452217,16.284610500222996,5.378373599297256,0.048026787690044294,0.0,3,0.0,0.0,0.0,0.0,0.3066286610526375,1.8523339507725691,10.635727599617148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306.6mM ectoin + 1.85M ethylene_glycol + 10.6% fbs,Local rank-resolution probe around exploit anchor bo_candidates_dmso_free_iteration_6_prior_mean.csv rank 3; scaled fbs + ethylene_glycol down by 10%.
